problem_id,task_id,problem_label,problem_complexity,ast_depth,branch_count,loop_count,function_count,control_flow_ratio,functional_pass_rate,ssi,pssi,sds,structural_variance
humaneval_029,HumanEval/29,HE-29,11.616773413333334,9.08,1.1733333333333333,0.32,1.0,0.04344008,1.0,0.8286649806524113,0.8248918283367747,0.7199526282618155,0.15163512141674293
humaneval_030,HumanEval/30,HE-30,11.447394106666668,8.88,1.1733333333333333,0.3333333333333333,1.0,0.06072744,1.0,0.8307924836648842,1.2020657739120308,0.9739549066286282,0.34550278677628593
humaneval_031,HumanEval/31,HE-31,15.898021586666667,9.266666666666667,4.493333333333333,1.0133333333333334,1.0,0.12468825333333333,1.0,0.845262927709673,0.6208543416134047,0.49357569065882684,0.0877084648464843
humaneval_032,HumanEval/32,HE-32,27.28781246666667,10.853333333333333,9.88,3.8533333333333335,2.6533333333333333,0.04781246666666667,0.6666666666666666,0.4931669305872089,1.789566030122555,1.764554413720462,1.2401991439729227
humaneval_033,HumanEval/33,HE-33,11.89296768,9.24,0.6266666666666667,1.0,1.0,0.02630101333333333,1.0,0.8158075757166399,0.246895729517871,0.2869443334938732,0.026215592103400867
humaneval_034,HumanEval/34,HE-34,11.037551506666667,8.453333333333333,1.08,0.44,1.0,0.06421817333333334,1.0,0.8185457563045688,0.98551527956809,0.8001324413090689,0.20409888809484236
humaneval_035,HumanEval/35,HE-35,11.038078546666668,7.173333333333333,2.0933333333333333,0.68,1.0,0.09141188000000001,1.0,0.8031975012459426,0.9751035638353261,0.8006454195331169,0.15065097785395326
humaneval_036,HumanEval/36,HE-36,14.487844959999999,9.986666666666666,1.9866666666666666,1.3466666666666667,1.1066666666666667,0.06117829333333334,1.0,0.7794533524963104,0.7221173676063035,0.6725856983176284,0.26333390737646584
humaneval_037,HumanEval/37,HE-37,12.160580906666667,9.506666666666666,0.6,1.0266666666666666,1.0,0.027247573333333334,1.0,0.8376954363443573,0.3609511712530866,0.32035899579942795,0.036249452403484865
humaneval_038,HumanEval/38,HE-38,15.435625706666666,10.986666666666666,2.1733333333333333,0.32,1.9333333333333333,0.022292373333333334,0.92,0.8055296465607491,0.6418938671122233,0.6070636432807688,0.1512672531845818
humaneval_039,HumanEval/39,HE-39,20.308832373333335,9.24,6.346666666666667,2.3866666666666667,2.24,0.09549904000000001,0.8666666666666667,0.7057066016109398,1.550401702036946,1.3256280064762074,0.6194151980875461
humaneval_040,HumanEval/40,HE-40,17.692172773333333,10.946666666666667,2.9066666666666667,2.7733333333333334,1.0,0.06550610666666666,1.0,0.8714983185775637,0.787161194319873,0.6031171292783424,0.0967511292754971
humaneval_041,HumanEval/41,HE-41,8.5499438,6.628571428571429,0.7142857142857143,0.12857142857142856,1.0,0.07851522857142856,1.0,0.8054125239791957,0.6154277057891911,0.5631774619640947,0.10725799810056767
humaneval_042,HumanEval/42,HE-42,9.585613706666667,7.786666666666667,0.48,0.26666666666666666,1.0,0.05228037333333334,1.0,0.8035029180982715,0.965738581571936,0.8383582603701155,0.2486270631497374
humaneval_043,HumanEval/43,HE-43,12.759547226666667,8.666666666666666,1.72,1.28,1.0,0.09288056,1.0,0.8104590643629976,0.6326720890019403,0.5818352130099765,0.13101761794889044
humaneval_044,HumanEval/44,HE-44,13.199767773333333,8.773333333333333,2.3466666666666667,1.0133333333333334,1.0,0.06643444,1.0,0.8805963911128244,0.5157260453742247,0.3920637215021901,0.04605902671023184
humaneval_045,HumanEval/45,HE-45,9.21863424,7.493333333333333,0.6666666666666666,0.0,1.0,0.05863424,1.0,0.8654476836058118,0.3266507323139842,0.2956964309382192,0.0402721002509094
humaneval_046,HumanEval/46,HE-46,15.933561386666668,9.52,4.1866666666666665,1.1466666666666667,1.0,0.08022805333333333,1.0,0.8048279564059222,0.9173849443302696,0.7654756415128529,0.1503550258304457
humaneval_047,HumanEval/47,HE-47,12.650180319999999,9.373333333333333,1.9866666666666666,0.16,1.08,0.05018032,0.9866666666666667,0.8449446699257231,1.497859344119721,0.9639425017558253,0.3854380828831321
humaneval_048,HumanEval/48,HE-48,10.673500599999999,8.16,1.0,0.4533333333333333,1.0,0.06016726666666667,1.0,0.8465754149798486,1.013879783828417,0.7714864292256581,0.14423519525992096
humaneval_049,HumanEval/49,HE-49,10.77922456,7.653333333333333,1.56,0.44,1.0666666666666667,0.05922456,1.0,0.7180992490102732,1.3031017249579604,1.078715826840184,0.32745148512500327
humaneval_050,HumanEval/50,HE-50,15.958629546666668,12.933333333333334,0.5466666666666666,0.4533333333333333,2.0,0.025296213333333335,1.0,0.8439774722011931,0.5595538707246316,0.5230135405593359,0.1337894906545671
humaneval_051,HumanEval/51,HE-51,10.23265536,8.333333333333334,0.5866666666666667,0.25333333333333335,1.0,0.059322026666666666,1.0,0.8244542403740229,1.0468349056774213,0.7915902959241284,0.17477195139795265
humaneval_052,HumanEval/52,HE-52,10.026048226666667,7.733333333333333,0.7466666666666667,0.4666666666666667,1.0,0.07938156,1.0,0.7707105302311618,1.912032807371155,1.6176090530451106,0.6200072475718348
humaneval_053,HumanEval/53,HE-53,8.1471424,6.546666666666667,0.52,0.02666666666666667,1.0,0.05380906666666667,1.0,0.8488614184808827,0.4501697454736426,0.351746570390117,0.074380577417455
humaneval_054,HumanEval/54,HE-54,8.86859036,7.32,0.3466666666666667,0.13333333333333333,1.0266666666666666,0.04192369333333334,0.6533333333333333,0.782566616425805,0.7067914235210119,0.5996565833989287,0.16132873610707685
